use_kwh,pay,reduced_pay
1,1150,1150
2,1280,1150
3,1410,1150
5,1670,1150
6,1790,1150
7,1930,1150
9,2180,1150
10,2310,1150
11,2430,1150
13,2690,1150
14,2820,1150
16,3080,1150
17,3210,1150
18,3330,1150
20,3590,1150
21,3720,1150
22,3850,1150
24,4110,1150
25,4230,1150
27,4490,1150
28,4620,1150
29,4750,1150
31,5010,1150
32,5130,1150
33,5260,1150
35,5510,1150
36,5650,1150
38,5900,1150
39,6030,1150
40,6160,1150
42,6410,1150
43,6540,1150
44,6670,1150
46,6930,1150
47,7050,1150
49,7310,1150
50,7450,1150
51,7570,1150
53,7830,1150
54,7950,1150
55,8090,1150
57,8350,1150
58,8470,1150
60,8730,1150
61,8850,1150
62,8990,1150
64,9240,1150
65,9370,1150
66,9490,1150
68,9750,1150
69,9880,1150
71,10140,1150
72,10270,1150
73,10390,1150
75,10650,1150
76,10780,1150
77,10910,1150
79,11170,1150
80,11290,1150
82,11550,1150
83,11680,1150
84,11810,1150
86,12070,1150
87,12190,1150
88,12320,1150
90,12570,1150
104,14370,1150
114,15650,1150
115,15790,1150
116,15910,1150
117,16050,1150
118,16170,1150
119,16300,1150
120,16430,1150
121,16550,1150
122,16690,1150
123,16810,1150
124,16950,1150
125,17070,1150
126,17190,1150
127,17330,1150
128,17450,1150
129,17590,1150
130,17710,1150
131,17840,1150
132,17970,1150
133,18090,1150
134,18230,1150
135,18350,1150
136,18480,1150
137,18610,1150
138,18740,1150
139,18870,1150
140,18990,1150
141,19130,1150
142,19250,1150
143,19380,1150
144,19510,1150
145,19630,1150
146,19770,1150
147,19890,1150
148,20030,1150
149,20150,1150
150,20290,1150
151,20410,1150
152,20530,1150
153,20670,1150
154,20790,1150
155,20930,1150
156,21050,1150
157,21170,1150
158,21310,1150
159,21430,1150
160,21570,1150
161,21690,1150
162,21820,1150
163,21950,1150
164,22070,1150
165,22210,1150
166,22330,1150
167,22470,1150
168,22590,1150
169,22710,1150
170,22850,1150
171,22970,1150
172,23110,1150
173,23230,1150
181,24250,1150
192,25670,1150
203,28190,1150
214,30790,1150
225,33380,1150
228,34080,1150
229,34320,1150
231,34800,1150
232,35040,1150
233,35260,1150
235,35740,1150
236,35980,1150
237,36210,1150
239,36680,1150
240,36920,1150
242,37390,1150
243,37630,1150
244,37870,1150
246,38330,1150
247,38570,1150
248,38810,1150
250,39280,1150
251,39510,1150
253,39990,1150
254,40220,1150
255,40460,1150
257,40930,1150
258,41160,1150
259,41400,1150
260,41640,1150
4,1540,1150
8,2050,1150
12,2570,1150
15,2950,1150
19,3460,1150
23,3970,1150
26,4360,1150
30,4870,1150
34,5390,1150
37,5770,1150
41,6290,1150
45,6800,1150
48,7190,1150
52,7700,1150
56,8210,1150
59,8600,1150
63,9110,1150
67,9630,1150
70,10010,1150
74,10530,1150
78,11030,1150
81,11420,1150
85,11930,1150
89,12450,1150
91,12710,1150
92,12830,1150
93,12960,1150
94,13090,1150
95,13220,1150
96,13350,1150
97,13470,1150
98,13610,1150
99,13730,1150
100,13870,1150
101,13990,1150
102,14110,1150
103,14250,1150
105,14510,1150
106,14630,1150
107,14760,1150
108,14890,1150
109,15010,1150
110,15150,1150
111,15270,1150
112,15400,1150
113,15530,1150
261,41880,1150
262,42110,1150
264,42580,1150
265,42820,1150
266,43060,1150
268,43520,1150
269,43760,1150
270,44000,1150
272,44470,1150
273,44700,1150
275,45180,1150
276,45410,1150
277,45650,1200
279,46120,1440
280,46350,1570
174,23360,1150
175,23490,1150
176,23610,1150
177,23750,1150
178,23870,1150
179,24010,1150
180,24130,1150
182,24390,1150
183,24510,1150
184,24650,1150
185,24770,1150
186,24900,1150
187,25030,1150
188,25150,1150
189,25290,1150
190,25410,1150
191,25550,1150
193,25790,1150
194,25930,1150
195,26050,1150
196,26190,1150
197,26310,1150
198,26440,1150
199,26570,1150
200,26690,1150
201,27720,1150
202,27950,1150
204,28430,1150
205,28660,1150
206,28900,1150
207,29130,1150
208,29370,1150
209,29610,1150
210,29850,1150
211,30070,1150
212,30310,1150
213,30550,1150
215,31020,1150
216,31250,1150
217,31490,1150
218,31730,1150
219,31970,1150
220,32200,1150
221,32440,1150
222,32670,1150
223,32910,1150
224,33140,1150
226,33620,1150
227,33860,1150
230,34560,1150
234,35500,1150
238,36450,1150
241,37150,1150
245,38100,1150
249,39050,1150
252,39750,1150
256,40690,1150
263,42340,1150
267,43290,1150
271,44230,1150
274,44940,1150
278,45890,1320
281,46590,1690
282,46830,1810
283,47070,1930
284,47300,2060
285,47530,2180
286,47770,2300
287,48010,2420
288,48250,2550
289,48480,2670
290,48720,2790
291,48950,2920
292,49190,3040
293,49420,3160
294,49660,3280
295,49900,3410
296,50130,3530
297,50360,3650
298,50600,3770
299,50840,3900
300,51080,4020
301,51320,4140
302,51540,4260
303,51780,4390
304,52020,4510
305,52260,4630
306,52490,4760
307,52730,4880
308,52960,5000
309,53200,5120
310,53430,5250
311,53670,5370
312,53910,5490
313,54140,5610
314,54370,5740
315,54610,5860
316,54850,5980
317,55090,6110
318,55330,6230
319,55550,6350
320,55790,6470
321,56030,6600
322,56270,6720
323,56500,6840
324,56740,6960
325,56970,7090
326,57210,7210
327,57440,7330
328,57680,7450
329,57920,7580
330,58160,7700
331,58390,7820
332,58620,7950
333,58860,8070
334,59100,8190
335,59340,8310
336,59560,8440
337,59800,8560
338,60040,8680
339,60280,8800
340,60510,8930
341,60750,9050
342,60980,9170
343,61220,9290
344,61460,9420
345,61690,9540
346,61930,9660
347,62170,9790
348,62400,9910
349,62630,10030
350,62870,10150
351,63110,10280
352,63350,10400
353,63570,10520
354,63810,10640
355,64050,10770
356,64290,10890
357,64530,11010
358,64760,11140
359,64990,11260
360,65230,11380
361,65470,11500
362,65700,11630
363,65940,11750
364,66180,11870
365,66410,11990
366,66640,12120
367,66880,12240
368,67120,12360
369,67360,12480
370,67590,12610
371,67820,12730
372,68060,12850
373,68300,12980
374,68540,13100
375,68770,13220
376,69000,13340
377,69240,13470
378,69480,13590
379,69710,13710
380,69950,13830
381,70190,13960
382,70420,14080
383,70650,14200
384,70890,14320
385,71130,14450
386,71370,14570
387,71610,14690
388,71830,14820
389,72070,14940
390,72310,15060
391,72550,15180
392,72780,15310
393,73010,15430
394,73250,15550
395,73490,15670
396,73720,15800
397,73960,15920
398,74200,16040
399,74430,16160
400,74670,16290
401,81490,16410
402,81830,16530
403,82170,16660
404,82510,16780
405,82850,16900
406,83190,17020
407,83530,17150
408,83870,17270
409,84220,17390
410,84570,17510
411,84900,17640
412,85240,17760
413,85580,17880
414,85930,18010
415,86270,18130
416,86610,18250
417,86950,18370
418,87300,18500
419,87640,18620
420,87980,18740
421,88320,18860
422,88660,18990
423,89000,19110
424,89340,19230
425,89680,19350
426,90020,19480
427,90370,19600
428,90710,19720
429,91050,19850
430,91390,19970
431,91730,20090
432,92070,20210
433,92410,20340
434,92750,20460
435,93090,20580
436,93440,20700
437,93780,20830
438,94120,20950
439,94460,21070
440,94800,21190
441,95140,21320
442,95480,21440
443,95820,21560
444,96160,21690
445,96510,21810
446,96850,21930
447,97190,22050
448,97530,22180
449,97870,22300
450,98210,22420
451,98550,22540
452,98890,22670
453,99230,22790
454,99580,22910
455,99920,23040
456,100260,23160
457,100610,23280
458,100950,23400
459,101290,23530
460,101630,23650
461,101970,23770
462,102310,23890
463,102660,24020
464,103000,24140
465,103340,24260
466,103680,24380
467,104020,24510
468,104360,24630
469,104700,24750
470,105040,24880
471,105380,25000
472,105730,25120
473,106070,25240
474,106410,25370
475,106750,25490
476,107090,26440
477,107430,26670
478,107770,26900
479,108110,27130
480,108450,27360
481,108800,27590
482,109140,27820
483,109480,28050
484,109820,28280
485,110160,28510
486,110500,28740
487,110840,28970
488,111180,29200
489,111520,29430
490,111870,29660
491,112210,29890
492,112550,30120
493,112890,30350
494,113230,30580
495,113570,30810
496,113910,31040
497,114250,31270
498,114590,31500
499,114940,31730
500,115290,31960
501,115620,32190
502,115960,32420
503,116300,32650
504,116650,32880
505,116990,33110
506,117330,33340
507,117670,33570
508,118020,33800
509,118360,34030
510,118700,34260
511,119040,34490
512,119380,34720
513,119720,34950
514,120060,35190
515,120400,35420
516,120740,35650
517,121090,35880
518,121430,36110
519,121770,36340
520,122110,36570
521,122450,36800
522,122790,37030
523,123130,37260
524,123470,37490
525,123810,37720
526,124160,37950
527,124500,38180
528,124840,38410
529,125180,38640
530,125520,38870
531,125860,39100
532,126200,39330
533,126540,39560
534,126880,39790
535,127230,40020
536,127570,40250
537,127910,40480
538,128250,40710
539,128590,40940
540,128930,41170
541,129270,41400
542,129610,41630
543,129950,41860
544,130300,42090
545,130640,42320
546,130980,42550
547,131330,42780
548,131670,43010
549,132010,43240
550,132350,43470
551,132690,43700
552,133030,43930
553,133380,44160
554,133720,44390
555,134060,44630
556,134400,44860
557,134740,45090
558,135080,45320
559,135420,45550
560,135760,45780
561,136100,46010
562,136450,46240
563,136790,46470
564,137130,46700
565,137470,46930
566,137810,47160
567,138150,47390
568,138490,47620
569,138830,47850
570,139170,48080
571,139520,48310
572,139860,48540
573,140200,48770
574,140540,49000
575,140880,49230
576,141220,49460
577,141560,49690
578,141900,49920
579,142240,50150
580,142590,50380
581,142930,50610
582,143270,50840
583,143610,51070
584,143950,51300
585,144290,51530
586,144630,51760
587,144970,51990
588,145310,52220
589,145660,52450
590,146010,52680
591,146340,52910
592,146680,53140
593,147020,53370
594,147370,53600
595,147710,53830
596,148050,54060
597,148390,54300
598,148740,54530
599,149080,54760
600,149420,54990
601,149760,55220
602,150100,55450
603,150440,55680
604,150780,55910
605,151120,56140
606,151460,56370
607,151810,56600
608,152150,56830
609,152490,57060
610,152830,57290
611,153170,57520
612,153510,57750
613,153850,57980
614,154190,58210
615,154530,58440
616,154880,58670
617,155220,58900
618,155560,59130
619,155900,59360
620,156240,59590
621,156580,59820
622,156920,60050
623,157260,60280
624,157600,60510
625,157950,60740
626,158290,60970
627,158630,61200
628,158970,61430
629,159310,61660
630,159650,61890
631,159990,62120
632,160330,62350
633,160670,62580
634,161020,62810
635,161360,63040
636,161700,63270
637,162050,63500
638,162390,63740
639,162730,63970
640,163070,64200
641,163410,64430
642,163750,64660
643,164100,64890
644,164440,65120
645,164780,65350
646,165120,65580
647,165460,65810
648,165800,66040
649,166140,66270
650,166480,66500
651,166820,66730
652,167170,66960
653,167510,67190
654,167850,67420
655,168190,67650
656,168530,67880
657,168870,68110
658,169210,68340
659,169550,68570
660,169890,68800
661,170240,69030
662,170580,69260
663,170920,69490
664,171260,69720
665,171600,69950
666,171940,70180
667,172280,70410
668,172620,70640
669,172960,70870
670,173310,71100
671,173650,71330
672,173990,71560
673,174330,71790
674,174670,72020
675,175010,72250
676,175350,79000
677,175690,79340
678,176030,79680
679,176370,80010
680,176730,80350
681,177060,80680
682,177400,81020
683,177740,81350
684,178090,81690
685,178430,82030
686,178770,82360
687,179110,82700
688,179450,83030
689,179800,83370
690,180140,83700
691,180480,84040
692,180820,84370
693,181160,84710
694,181500,85050
695,181840,85380
696,182180,85720
697,182520,86050
698,182870,86390
699,183210,86720
700,183550,87060
701,183890,87400
702,184230,87730
703,184570,88070
704,184910,88400
705,185250,88740
706,185590,89070
707,185940,89410
708,186280,89740
709,186620,90080
710,186960,90420
711,187300,90750
712,187640,91090
713,187980,91420
714,188320,91760
715,188660,92090
716,189010,92430
717,189350,92770
718,189690,93100
719,190030,93440
720,190370,93770
721,190710,94110
722,191050,94440
723,191390,94780
724,191730,95120
725,192080,95450
726,192420,95790
727,192770,96120
728,193110,96460
729,193450,96790
730,193790,97130
731,194130,97460
732,194470,97800
733,194810,98140
734,195160,98470
735,195500,98810
736,195840,99140
737,196180,99480
738,196520,99810
739,196860,100150
740,197200,100490
741,197540,100820
742,197880,101160
743,198230,101490
744,198570,101830
745,198910,102160
746,199250,102500
747,199590,102830
748,199930,103170
749,200270,103510
750,200610,103840
751,200950,104180
752,201300,104510
753,201640,104850
754,201980,105180
755,202320,105520
756,202660,105860
757,203000,106190
758,203340,106530
759,203680,106860
760,204020,107200
761,204370,107530
762,204710,107870
763,205050,108210
764,205390,108540
765,205730,108880
766,206070,109210
767,206410,109550
768,206750,109880
769,207090,110220
770,207440,110550
771,207780,110890
772,208120,111230
773,208460,111560
774,208800,111900
775,209140,112230
776,209480,112570
777,209830,112900
778,210170,113240
779,210520,113580
780,210860,113910
781,211200,114250
782,211540,114580
783,211880,114920
784,212220,115250
785,212560,115590
786,212900,115920
787,213240,116260
788,213590,116600
789,213930,116930
790,214270,117270
791,214610,117600
792,214950,117940
793,215290,118270
794,215630,118610
795,215970,118950
796,216310,119280
797,216660,119620
798,217000,119950
799,217340,120290
800,217680,120620
801,218020,120960
802,218360,121300
803,218700,121630
804,219040,121970
805,219380,122300
806,219730,122640
807,220070,122970
808,220410,123310
809,220750,123640
810,221090,123980
811,221430,124320
812,221770,124650
813,222110,124990
814,222450,125320
815,222800,125660
816,223140,125990
817,223480,126330
818,223820,126670
819,224160,127000
820,224510,127340
821,224840,127670
822,225180,128010
823,225520,128340
824,225880,128680
825,226220,129010
826,226560,129350
827,226900,129690
828,227240,130020
829,227580,130360
830,227920,130690
831,228260,131030
832,228600,131360
833,228950,131700
834,229290,132040
835,229630,132370
836,229970,132710
837,230310,133040
838,230650,133380
839,230990,133710
840,231330,134050
841,231670,134390
842,232020,134720
843,232360,135060
844,232700,135390
845,233040,135730
846,233380,136060
847,233720,136400
848,234060,136730
849,234400,137070
850,234740,137410
851,235090,137740
852,235430,138080
853,235770,138410
854,236110,138750
855,236450,139080
856,236790,139420
857,237130,139760
858,237470,140090
859,237810,140430
860,238160,140760
861,238500,141100
862,238840,141430
863,239180,141770
864,239520,142110
865,239860,142440
866,240200,142780
867,240550,143110
868,240890,143450
869,241240,143780
870,241580,144120
871,241920,144450
872,242260,144790
873,242600,145130
874,242940,145460
875,243280,145800
876,243620,146130
877,243960,146470
878,244310,146800
879,244650,147140
880,244990,147480
881,245330,147810
882,245670,148150
883,246010,148480
884,246350,148820
885,246690,149150
886,247030,149490
887,247380,149820
888,247720,150160
889,248060,150500
890,248400,150830
891,248740,151170
892,249080,151500
893,249420,151840
894,249760,152170
895,250100,152510
896,250450,152850
897,250790,153180
898,251130,153520
899,251470,153850
900,251810,154190
901,252150,154520
902,252490,154860
903,252830,155200
904,253170,155530
905,253520,155870
906,253860,156200
907,254200,156540
908,254540,156870
909,254880,157210
910,255230,157540
911,255560,157880
912,255900,158220
913,256240,158550
914,256600,158890
915,256940,159220
916,257280,159560
917,257620,159890
918,257960,160230
919,258300,160570
920,258640,160900
921,258980,161240
922,259320,161570
923,259670,161910
924,260010,162240
925,260350,162580
926,260690,162910
927,261030,163250
928,261370,163590
929,261710,163920
930,262050,164260
931,262390,164590
932,262740,164930
933,263080,165260
934,263420,165600
935,263760,165940
936,264100,166270
937,264440,166610
938,264780,166940
939,265120,167280
940,265460,167610
941,265810,167950
942,266150,168290
943,266490,168620
944,266830,168960
945,267170,169290
946,267510,169630
947,267850,169960
948,268190,170300
949,268530,170630
950,268880,170970
951,269220,171310
952,269560,171640
953,269900,171980
954,270240,172310
955,270580,172650
956,270920,172980
957,271270,173320
958,271610,173660
959,271960,173990
960,272300,174330
961,272640,174660
962,272980,175000
963,273320,175330
964,273660,175670
965,274000,176000
966,274340,176340
967,274680,176680
968,275030,177010
969,275370,177350
970,275710,177680
971,276050,178020
972,276390,178350
973,276730,178690
974,277070,179030
975,277410,179360
976,277750,179700
977,278100,180030
978,278440,180370
979,278780,180700
980,279120,181040
981,279460,181380
982,279800,181710
983,280140,182050
984,280480,182380
985,280820,182720
986,281160,183050
987,281510,183390
988,281850,183720
989,282190,184060
990,282530,184400
991,282870,184730
992,283210,185070
993,283550,185400
994,283890,185740
995,284230,186070
996,284580,186410
997,284920,186750
998,285260,187080
999,285600,187420
1000,285950,187750
